name;price;page;quantity;unit;unit_price;type;is_outlier;brand
Jumbos Beste Koffie Snelfiltermaling Aroma 2 x 500 g;12.99;1.0;1000.0;g;0.01299;filter;False;jumbo
Lavazza Espresso Lungo koffiecups 30st;12.79;1.0;30.0;st;0.0609047619047619;cups;False;lavazza
Douwe Egberts Aroma Rood Filterkoffie 500 g;8.15;1.0;500.0;g;0.0163;filter;False;douwe egberts
Lavazza Espresso Classico koffiecups 30st;12.79;1.0;30.0;st;0.0609047619047619;cups;False;lavazza
Douwe Egberts Aroma Rood Dubbelpak Filterkoffie 2 x 500 g;15.99;1.0;1000.0;g;0.01599;filter;False;douwe egberts
NESCAFA Dolce Gusto, Koffie Lungo, 16 capsules, 89.6 gr;5.99;1.0;16.0;capsules;0.0534821428571428;capsule;False;nescafe
Lavazza Espresso Maestro Ristretto Koffiecups 10 Stuks;4.89;1.0;10.0;st;0.0698571428571428;cups;False;lavazza
La Place Koffiebonen Espresse Arabica 4 x 1000 g;63.16;1.0;4000.0;g;0.01579;beans;False;la place
Jumbos roodmerk filterkoffie 6 x 2 x 500g;74.94;1.0;1000.0;g;0.0749399999999999;filter;False;jumbo
Nescafe Dolce Gusto Cappuccino Koffiecups 3 x 30 Stuks;26.97;1.0;90.0;st;0.0428095238095238;capsule;False;nescafe
Jumbos beste koffiebonen aroma 4 x 1kg;47.16;1.0;4000.0;g;0.0117899999999999;beans;False;jumbo
Jumbo Aroma Oploskoffie 200 g;4.99;1.0;200.0;g;0.02495;instant;False;jumbo
NESCAFA Dolce Gusto, Koffie Lungo Intenso, 16 capsules, 144 gr;5.99;1.0;16.0;capsules;0.0534821428571428;capsule;False;nescafe
Jumbos Beste Koffie Snelfiltermaling Decaf 500 g;6.99;1.0;500.0;g;0.01398;filter;False;jumbo
Kanis & Gunnink Regular Filterkoffie 500 g;6.55;1.0;500.0;g;0.0130999999999999;filter;False;kanis en gunnink
Jumbos Koffiepads Classic 56 Stuks;6.99;1.0;56.0;st;0.0178316326530612;pads;False;jumbo
Jumbo Decaf Oploskoffie 100 g;2.75;2.0;100.0;g;0.0275;instant;False;jumbo
Jumbos Beste Koffiebonen Aroma 1 kg;12.99;2.0;1000.0;g;0.01299;beans;False;jumbo
Jumbos Beste Koffiebonen Dark Roast 1 kg;12.99;2.0;1000.0;g;0.01299;beans;False;jumbo
